Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,"Had the most amazing Sunday lunch experience. Our server Stephen was perfect and took good care of us. The atmosphere was nice, they had a good playlist going but not too loud for chatting. And of course the food was top notch - perfectly seasoned and filling for the price. Will definitely be back.",18 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Lunch,$30–40,5,5,5,,,,
5 stars,No review text,20 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Love the happy hour. Peter is the best!,a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"Sam was amazing, the service and food was superb.",a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,Dine in,,,5,5,5,,,,
5 stars,Our server Caili was so amazing! We came in to celebrate my birthday during happy hour and she made the whole experience so enjoyable. Great service!,a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"Perfect!! Hands down, some of the most delicious food I've eaten lately! They utilize only the freshest ingredients and ensure that each dish is properly prepared. The Red Curry Mussels and Fish and Chips  was very memorable. Must try! I was really impressed by the service of Stephen and Jesse. The staff members were very knowledgable about the food and provided fantastic suggestions. Truly excellent service! Thank you",a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"I’ve been here countless times and really enjoyed my experience every time! The food is great and the service is top tier! Big thank you to my regular server Sallie, for her hospitable and very attentive service, always meeting my food requests!",a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$50–60,5,5,5,,,,
5 stars,Stephen was a delight and made the experience a very enjoyable time!,a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,Brunch,$20–30,5,5,5,Coast,,,
5 stars,Our server Stephen was awesome. Super friendly and nice to talk with while we enjoyed our happy hour.,a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Stephen was fantastic! Super friendly. The weekend happy hour was great - would recommend!,a day ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,Dine in,,,5,5,5,,,,
1 star,"The room had a credit card and was paid for before I checked in, shouldn't have needed a deposit, was forced to give one and the room wasn't even clean. The walls were disgusting, bathroom, unclean, sheets, no idea, service, none. Please do better. Especially with your customer service who were working on Tuesday feb25.",2 days ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,,,,1,1,1,,,,
4 stars,No review text,2 days ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$40–50,4,5,4,Fish,,,
4 stars,Caili was the best server! Will for sure be back.,2 days ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,4,5,5,,,,
5 stars,Caili is the best server!!,2 days ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,5,5,5,"Coast, Fish",,,
5 stars,"We were there for happy hour - food was amazing; atmosphere was great and the bar staff (Oscar, Jason, Ryan) were very attentive. Would highly recommend",2 days ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$70–80,5,5,5,"Oysters on the Half Shell and Lemon Drop, Beef Carpaccio, Carpaccio",,,
5 stars,"Great service, Caili was fantastic. Seafood and wine was phenomenal.",2 days ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,,,,,,,,,,
5 stars,We did a group dinner at coast and Laura was our server. She was excellent!,2 days ago,2025-03-01,23-Feb-2025 to 01-Mar-2025,,,,4,5,5,,,,
5 stars,"What a great place! From the moment we walked in, our waitress, Sallie, made us feel as if we had been a patron for years despite having only arrived from the UK the day before.
The atmosphere was very good and Sallie’s knowledge of the menu and her recommendations were excellent.
So good in fact that we have booked to go again tomorrow.
Can’t wait.",3 days ago,2025-02-28,23-Feb-2025 to 01-Mar-2025,,Dinner,$90–100,5,5,5,"Oysters on the Half Shell and Lemon Drop, Coast",,,
5 stars,"Josh & Franklin are amazing. The service was exceptional. The food was so good. I would truly recommend Coast restaurant to my friends, family & hotel guests",3 days ago,2025-02-28,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$40–50,5,5,5,,,,
5 stars,"My friend and I had exceptional service from our server Sallie. She knew when to check in on us and when to leave us alone. Despite arriving late she honoured us with a Happy Hour priced drink, and when she found out that my friend’s son got engaged that day she came with glasses of bubbly! We were not big paying clients but she treated us just the same! Thank you Sallie for your exceptional service, I hope to see you again soon.",3 days ago,2025-02-28,23-Feb-2025 to 01-Mar-2025,,,,5,5,5,,,,
